"key","values","default","description","source"
"maxiter","integer","`500`","Maximum outer loop iterations. `maxiter = 0` is *evaluation only*: the engine runs one inner EBE solve at the initial parameters and reports the objective there with no outer optimisation — useful for scoring a fixed parameter set or computing standard errors at known estimates (with `covariance = true`).","ferx-core fit-options"
"inner_maxiter","integer","`200`","Max iterations for the inner (per-subject EBE) optimizer","ferx-core fit-options"
"inner_tol","float","`1e-5`","Gradient-norm convergence tolerance for the inner (per-subject EBE) optimizer.","ferx-core fit-options"
"inner_restarts","integer","`1`","Guarded multi-start count for the inner (per-subject EBE) optimizer, to escape a **multimodal individual objective**.","ferx-core fit-options"
"cov_inner_tol","float","`inner_tol` (LTBS: `min(inner_tol, 1e-8)`)","Inner EBE-reconvergence tolerance used **only by the covariance step**, decoupled from `inner_tol`.","ferx-core fit-options"
"outer_xtol","float","`1e-4`","Relative **step** tolerance: how far the optimizer's step must shrink before it declares success.","ferx-core fit-options"
"outer_ftol","float","auto","Relative **objective** tolerance: the relative OFV change below which the optimizer stops.","ferx-core fit-options"
"ode_reltol","float","`1e-4`","RK45 ODE solver **relative** tolerance. Applies to ODE models, and to the auto-generated ODE **twin** that closed-form transit / inverse-Gaussian absorption models (`one_cpt_transit`, `two_cpt_transit`, `one_cpt_ig`, `two_cpt_ig`) use to serve IOV, time-varying-covariate, and `TIME`-switch subjects (#719/#814) — so a call-time override reaches those rerouted fits too; otherwise ignored for analytical PK.","ferx-core fit-options"
"ode_abstol","float","`1e-6`","RK45 ODE solver **absolute** tolerance (companion to `ode_reltol`).","ferx-core fit-options"
"ode_max_steps","integer","`10000`","Max solver steps per integration segment. ODE models and the absorption ODE twin.","ferx-core fit-options"
"ode_stiff_abort_after","integer ≥ 0, or `off`","`off`","Abandon an integration segment once this many of its steps have **clamped at the minimum step size**, instead of grinding on to `ode_max_steps`.","ferx-core fit-options"
"ode_auto_switch","`true`, `false`","`true`","Let `ode_method = auto` change stepper **inside** an integration segment, not only at its start.","ferx-core fit-options"
"ode_method","`auto`, `rk45`, `vern7`, `rosenbrock23`, `rodas4`, `rodas5p`","`auto`","Which stepper integrates the `[odes]` block. Two axes: `vern7` (Verner 7(6)) buys **order**, for fits that are *accuracy*-limited at tight tolerances — not a blanket upgrade, since it is slower than `rk45` at default tolerances.","ferx-core fit-options"
"analytic_cov_hessian","`true`, `false`","`true`","Use the **exact analytic R-matrix** for the covariance step when the model is in scope, instead of the finite-difference-of-OFV Hessian.","ferx-core fit-options"
"covariance_fallback","`none`, `sir`","`none`","What to do when the covariance Hessian is non-PD, whether `R` is analytic or finite-difference.","ferx-core fit-options"
"covariance_method","`r`, `s`, `rsr`","`r`","","ferx-core fit-options + ?ferx_fit"
"fd_hessian_step","float","`1e-2`","Initial relative step size for the finite-difference Hessian used in the covariance step.","ferx-core fit-options"
"optimizer","`auto`, `bobyqa`, `slsqp`, `nlopt_lbfgs`, `mma`, `trust_region` (plus deprecated aliases `bfgs`/`lbfgs` → `nlopt_lbfgs`)","`auto`","Outer-loop optimisation algorithm. Applies to `method = foce` / `focei` and to the FOCEI polish phase of `method = gn_hybrid`.","ferx-core fit-options"
